Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
136,1,F_Lure_23.bmp,NA,NA,NA,NA,1,1.3051,NA,NA
137,1,S_Image_54.bmp,NA,NA,NA,NA,1,2.3932,NA,NA
138,1,F_Lure_5.bmp,NA,NA,NA,NA,1,0.54053,NA,NA
139,1,F_Image_23.bmp,NA,NA,NA,NA,1,1.7918,NA,NA
140,1,O_Image_38.bmp,NA,NA,NA,NA,1,1.6433,NA,NA
141,1,F_Lure_11.bmp,NA,NA,NA,NA,1,2.124,NA,NA
142,1,S_Lure_57.bmp,NA,NA,NA,NA,1,0.47481,NA,NA
143,1,S_Image_58.bmp,NA,NA,NA,NA,1,1.6174,NA,NA
144,1,F_Lure_20.bmp,NA,NA,NA,NA,1,0.79489,NA,NA
145,2,S_Image_51.bmp,S_Lure_51.bmp,drizzle,1,1,0,3.4955,0,NA
146,2,S_Image_54.bmp,S_Lure_54.bmp,attack,1,2,2,1.5242,1,NA
147,2,S_Image_68.bmp,S_Lure_68.bmp,army,1,2,2,1.717,1,NA
148,2,O_Image_32.bmp,O_Lure_32.bmp,corpse,1,2,2,0.85374,1,NA
149,2,O_Image_42.bmp,O_Lure_42.bmp,kiss,1,1,1,2.4091,1,NA
150,2,F_Image_14.bmp,F_Lure_14.bmp,arrow,1,1,1,1.6385,1,NA
151,2,O_Image_47.bmp,O_Lure_47.bmp,flood,1,1,1,1.4104,1,NA
152,2,F_Image_8.bmp,F_Lure_8.bmp,angel,1,2,2,1.3119,1,NA
153,2,O_Image_41.bmp,O_Lure_41.bmp,fuel,1,1,1,2.5203,1,NA
154,2,F_Image_17.bmp,F_Lure_17.bmp,animal,1,2,2,2.2014,1,NA
155,2,S_Image_62.bmp,S_Lure_62.bmp,antique,1,2,2,1.2548,1,NA
156,2,O_Image_33.bmp,O_Lure_33.bmp,hostage,1,1,2,3.2099,0,NA
157,3,F_Image_17.bmp,F_Lure_17.bmp,animal,1,2,2,2.2552,1,NA
158,3,O_Image_42.bmp,O_Lure_42.bmp,kiss,1,2,1,0.86656,0,NA
159,3,F_Image_14.bmp,F_Lure_14.bmp,arrow,1,2,2,1.1489,1,NA
160,3,S_Image_68.bmp,S_Lure_68.bmp,army,1,1,1,2.7162,1,NA
161,3,S_Image_54.bmp,S_Lure_54.bmp,attack,1,2,2,0.81351,1,NA
162,3,S_Image_51.bmp,S_Lure_51.bmp,drizzle,1,1,1,1.0424,1,NA
163,3,O_Image_41.bmp,O_Lure_41.bmp,fuel,1,2,2,1.2304,1,NA
164,3,S_Image_62.bmp,S_Lure_62.bmp,antique,1,2,2,0.65835,1,NA
165,3,O_Image_32.bmp,O_Lure_32.bmp,corpse,1,2,2,0.56595,1,NA
166,3,F_Image_8.bmp,F_Lure_8.bmp,angel,1,1,0,3.4955,0,NA
167,3,O_Image_47.bmp,O_Lure_47.bmp,flood,1,2,2,1.0061,1,NA
168,3,O_Image_33.bmp,O_Lure_33.bmp,hostage,1,1,1,1.2511,1,NA
169,2,O_Image_45.bmp,O_Lure_45.bmp,giant,2,1,1,1.5102,1,NA
170,2,O_Image_38.bmp,O_Lure_38.bmp,breakfast,2,1,1,0.69589,1,NA
171,2,O_Image_40.bmp,O_Lure_40.bmp,hurricane,2,2,2,0.99292,1,NA
172,2,O_Image_35.bmp,O_Lure_35.bmp,galaxy,2,2,2,0.65484,1,NA
173,2,F_Image_5.bmp,F_Lure_5.bmp,alcohol,2,1,1,1.3224,1,NA
174,2,S_Image_58.bmp,S_Lure_58.bmp,magnet,2,2,2,1.1949,1,NA
175,2,S_Image_55.bmp,S_Lure_55.bmp,board,2,2,2,1.1366,1,NA
176,2,F_Image_16.bmp,F_Lure_16.bmp,harem,2,2,2,0.78511,1,NA
177,2,F_Image_11.bmp,F_Lure_11.bmp,cone,2,2,1,1.1585,0,NA
178,2,S_Image_56.bmp,S_Lure_56.bmp,fire,2,1,1,2.5421,1,NA
